  100000000      1.1             # run and version numbers

 Panel   H/V Layer Tube      x1      x2      y1      y2
 2     0     1       29 -255.11  264.89   -8.91   -8.91
 2     0     1       30 -255.11  264.89   -0.51   -0.51
 2     0     1       31 -255.11  264.89    7.89    7.89
 2     0     1       32 -255.11  264.89   16.29   16.29
 2     0     1       33 -255.11  264.89   24.69   24.69
 2     0     1       34 -255.11  264.89   33.09   33.09
 2     0     1       35 -255.11  264.89   41.49   41.49
 2     0     1       36 -255.11  264.89   49.89   49.89
 2     0     1       37 -255.11  264.89   58.29   58.29
 2     0     1       38 -255.11  264.89   66.69   66.69
 2     0     1       39 -255.11  264.89   75.09   75.09
 2     0     1       40 -255.11  264.89   83.49   83.49
 2     0     1       41 -255.11  264.89   91.89   91.89
 2     0     1       42 -255.11  264.89  100.29  100.29
 2     0     1       43 -255.11  264.89  108.69  108.69
 2     0     1       44 -255.11  264.89  117.09  117.09
 2     0     1       45 -255.11  264.89  125.49  125.49
 2     0     1       46 -255.11  264.89  133.89  133.89
 2     0     1       47 -255.11  264.89  142.29  142.29
 2     0     1       48 -255.11  264.89  150.69  150.69
 2     0     1       49 -255.11  264.89  159.09  159.09
 2     0     1       50 -255.11  264.89  167.49  167.49
 2     0     1       51 -255.11  264.89  175.89  175.89
 2     0     1       52 -255.11  264.89  184.29  184.29
 2     0     1       53 -255.11  264.89  192.69  192.69
 2     0     1       54 -255.11  264.89  201.09  201.09
 2     0     1       55 -255.11  264.89  209.49  209.49
 2     0     1       56 -255.11  264.89  217.89  217.89
 2     0     1       57 -255.11  264.89  226.29  226.29
 2     0     1       58 -255.11  264.89  234.69  234.69
