#
# This file is made from pedestal file determined by Tony
# from RUN7705. I added constant gain values (80,30) so that
# this can be used as the base calibration of RICH.
#
# Name (bankID=1)
ADC
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
ADC pedestal from RUN7705. PE=80, PEW=30 for all live channels.
# calibration data. 5120 entries
# status PMT Ped PedW PE PEW Nped N1 N2 N3 chisqr
SM 184 -0.400441 2.27636 80 30 1667.82 0 0 0 5.56508
SM 185 -0.530835 2.26095 80 30 1667.93 0 0 0 14.1209
SM 186 -0.626512 2.24213 80 30 1686.53 0 0 0 7.48201
SM 187 -0.488404 2.22576 80 30 1699.8 0 0 0 5.66321
SM 188 -0.521164 2.25855 80 30 1677.78 0 0 0 5.52645
SM 189 -0.375524 2.24567 80 30 1680.72 0 0 0 16.1866
SM 190 -0.476678 2.3024 80 30 1652.12 0 0 0 2.46281
SM 191 -7.53233 2.27158 80 30 1680.73 0 0 0 22.607
SM 192 -1.71839 3.09111 80 30 1220.01 0 0 0 19.8469
SM 193 -1.5397 2.43032 80 30 1563.31 0 0 0 5.02325
SM 194 -1.75135 2.42923 80 30 1559.73 0 0 0 7.58123
SM 195 -1.57425 2.39015 80 30 1582.53 0 0 0 10.9954
SM 196 -1.72084 2.52341 80 30 1502.31 0 0 0 6.00374
SM 197 -1.49119 2.50371 80 30 1511.6 0 0 0 10.9009
SM 198 -1.75091 2.3164 80 30 1627.71 0 0 0 13.2565
SM 199 -1.67344 2.37546 80 30 1591.46 0 0 0 6.0796
SM 200 -1.76417 2.36253 80 30 1605.23 0 0 0 8.62308
SM 201 -1.68463 2.43348 80 30 1553.32 0 0 0 12.1711
SM 202 -1.53429 2.45569 80 30 1541.16 0 0 0 8.33347
SM 203 -1.5751 2.35598 80 30 1594.63 0 0 0 17.3603
SM 204 -1.62298 2.42527 80 30 1562.56 0 0 0 11.0677
SM 205 -1.62295 2.45614 80 30 1542.16 0 0 0 9.99341
SM 206 -1.66626 2.35098 80 30 1610.65 0 0 0 6.2917
SM 207 -7.71833 2.28061 80 30 1675.86 0 0 0 20.013
SM 208 -0.799125 4.66292 80 30 803.843 0 0 0 38.5179
SM 209 -0.74014 2.86683 80 30 1317.72 0 0 0 23.6097
SM 210 -0.740308 2.47217 80 30 1507.96 0 0 0 43.4997
SM 211 -0.817209 2.55753 80 30 1487.03 0 0 0 11.1338
SM 212 -0.574976 2.44345 80 30 1550.46 0 0 0 12.3176
SM 213 -0.49979 2.4097 80 30 1572.21 0 0 0 12.0871
SM 214 -0.62193 2.43477 80 30 1562.1 0 0 0 10.4194
SM 215 -0.802565 2.36206 80 30 1594.66 0 0 0 13.6794
SM 216 -0.873408 2.39723 80 30 1577.91 0 0 0 12.018
SM 217 -0.859489 2.37691 80 30 1590.68 0 0 0 9.52059
SM 218 -0.714381 2.28584 80 30 1653.22 0 0 0 8.18224
SM 219 -0.911484 2.30385 80 30 1634.15 0 0 0 12.7303
SM 220 -0.472644 2.32279 80 30 1625.96 0 0 0 15.3008
SM 221 -0.522088 2.2829 80 30 1650.56 0 0 0 21.4129
SM 222 -0.765458 2.49688 80 30 1521.78 0 0 0 11.6264
SM 223 -7.11476 2.45648 80 30 1540.77 0 0 0 26.1213
SM 224 -1.45823 3.41304 80 30 1105.01 0 0 0 21.7273
SM 225 -1.19427 2.48293 80 30 1522.3 0 0 0 13.1804
SM 226 -1.02006 2.50978 80 30 1507.19 0 0 0 14.7
SM 227 -1.20674 2.47995 80 30 1522.99 0 0 0 10.7691
SM 228 -1.0909 2.42599 80 30 1552.82 0 0 0 14.9972
SM 229 -0.849675 2.43483 80 30 1544.63 0 0 0 21.2534
SM 230 -1.21138 2.50436 80 30 1519.24 0 0 0 6.15046
SM 231 -1.17126 2.50289 80 30 1518.84 0 0 0 4.56002
SM 232 -1.11859 2.38897 80 30 1587.46 0 0 0 1.41837
SM 233 -1.14937 2.5476 80 30 1486.92 0 0 0 9.75204
SM 234 -1.00066 2.56706 80 30 1481.29 0 0 0 3.17563
SM 235 -1.30907 2.66786 80 30 1425.9 0 0 0 7.36713
SM 236 -1.02218 2.81915 80 30 1343.82 0 0 0 13.9405
SM 237 -1.60168 5.85102 80 30 638.217 0 0 0 47.2176
SM 238 -1.14556 1.60382 80 30 2087.74 0 0 0 1.99897
SM 239 -7.60486 1.89033 80 30 2135.61 0 0 0 3.79282e-07
SM 240 -1.03825 3.73992 80 30 1007.92 0 0 0 23.9393
SM 241 -1.32561 2.62148 80 30 1446.44 0 0 0 10.4846
SM 242 -1.1651 2.51029 80 30 1503.83 0 0 0 15.6587
SM 243 -0.900146 2.46607 80 30 1540.79 0 0 0 4.20448
SM 244 -1.0946 2.36872 80 30 1596.71 0 0 0 7.20059
SM 245 -1.15602 2.40033 80 30 1574.93 0 0 0 7.10447
SM 246 -1.01189 2.44194 80 30 1554.33 0 0 0 7.00981
SM 247 -0.891096 2.40017 80 30 1578.82 0 0 0 5.11408
SM 248 -1.16535 2.38934 80 30 1587.16 0 0 0 5.5618
SM 249 -0.742433 2.35889 80 30 1597.62 0 0 0 12.1511
SM 250 -1.35465 2.39783 80 30 1574.39 0 0 0 9.96136
SM 251 -1.04991 2.41133 80 30 1564.58 0 0 0 12.2568
SM 252 -1.03734 2.43604 80 30 1553.4 0 0 0 9.01694
SM 253 -1.29434 2.43497 80 30 1552.48 0 0 0 9.94943
SM 254 -1.28488 2.53796 80 30 1497.79 0 0 0 6.94154
SM 255 -1.01733 2.7806 80 30 1359.93 0 0 0 21.586
SM 256 -1.09589 3.2831 80 30 1147.85 0 0 0 21.2852
SM 257 -0.72183 2.23408 80 30 1688.04 0 0 0 6.04258
SM 258 -0.620754 2.1935 80 30 1721.12 0 0 0 10.917
SM 259 -0.726912 2.22898 80 30 1690.84 0 0 0 5.89119
SM 260 -0.594595 2.23576 80 30 1686.8 0 0 0 6.58043
SM 261 -0.444195 2.15472 80 30 1749.08 0 0 0 7.59483
SM 262 -0.680651 2.22894 80 30 1690.39 0 0 0 6.47093
SM 263 -0.543524 2.17321 80 30 1731.41 0 0 0 9.15523
SM 264 -0.368446 2.12247 80 30 1779.65 0 0 0 6.88191
SM 265 -0.383568 2.08032 80 30 1809.21 0 0 0 8.96374
SM 266 -0.593887 2.12463 80 30 1765.15 0 0 0 12.2271
SM 267 -0.61656 2.18022 80 30 1726.52 0 0 0 8.68261
SM 268 -0.535829 2.13454 80 30 1760.55 0 0 0 10.8119
SM 269 -0.728622 2.17994 80 30 1722.04 0 0 0 7.60399
SM 270 -0.62575 2.24255 80 30 1684.67 0 0 0 6.4927
SM 271 -0.363766 2.28432 80 30 1661.22 0 0 0 6.49658
SM 272 -1.64214 3.12552 80 30 1208.85 0 0 0 23.1034
SM 273 -1.84399 2.24911 80 30 1677.64 0 0 0 7.14055
SM 274 -1.65 2.21686 80 30 1695.65 0 0 0 9.52902
SM 275 -1.65595 2.19551 80 30 1711.03 0 0 0 7.59571
SM 276 -1.7718 2.16778 80 30 1733.89 0 0 0 5.97373
SM 277 -1.83337 2.29002 80 30 1649.37 0 0 0 10.2957
SM 278 -1.4843 2.27855 80 30 1657.01 0 0 0 4.52827
SM 279 -1.41234 2.30108 80 30 1640.61 0 0 0 9.50978
SM 280 -1.74445 2.22255 80 30 1695.98 0 0 0 4.55334
SM 281 -1.7154 2.17652 80 30 1724.17 0 0 0 9.43058
SM 282 -1.10907 2.2459 80 30 1675.13 0 0 0 5.82079
SM 283 -1.53661 2.30539 80 30 1632.47 0 0 0 9.78666
SM 284 -1.89706 2.23466 80 30 1688.93 0 0 0 9.88137
SM 285 -1.61232 2.1831 80 30 1720.76 0 0 0 7.23878
SM 286 -1.286 2.21423 80 30 1692.19 0 0 0 13.7947
SM 287 -1.34698 2.25789 80 30 1663.22 0 0 0 12.0049
SM 288 -0.982905 4.48993 80 30 831.865 0 0 0 44.1773
SM 289 -0.944955 2.55515 80 30 1477 0 0 0 22.3362
SM 290 -0.615776 2.30557 80 30 1634.25 0 0 0 10.5457
SM 291 -0.854294 2.22291 80 30 1687.7 0 0 0 15.4049
SM 292 -0.674231 2.16892 80 30 1731.77 0 0 0 7.74006
SM 293 -0.671739 2.20295 80 30 1707 0 0 0 7.5761
SM 294 -0.846801 2.19437 80 30 1713.5 0 0 0 10.4419
SM 295 -0.811202 2.24591 80 30 1675.32 0 0 0 10.3685
SM 296 -0.864738 2.15658 80 30 1736.59 0 0 0 8.56778
SM 297 -0.6936 2.26051 80 30 1668.13 0 0 0 11.3256
SM 298 -1.00303 2.17397 80 30 1724.32 0 0 0 8.45604
SM 299 -0.676537 2.2051 80 30 1703.64 0 0 0 14.5625
