# Name (bankID=1)
T0
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
Default values of T0
# calibration data. 5120 entries
# status PMT T0
OK 1372 100 
OK 1373 100 
OK 1374 100 
OK 1375 100 
OK 1376 100 
OK 1377 100 
OK 1378 100 
OK 1379 100 
OK 1380 100 
OK 1381 100 
OK 1382 100 
OK 1383 100 
OK 1384 100 
OK 1385 100 
OK 1386 100 
OK 1387 100 
OK 1388 100 
OK 1389 100 
OK 1390 100 
OK 1391 100 
OK 1392 100 
OK 1393 100 
OK 1394 100 
OK 1395 100 
OK 1396 100 
OK 1397 100 
OK 1398 100 
OK 1399 100 
OK 1400 100 
OK 1401 100 
OK 1402 100 
OK 1403 100 
OK 1404 100 
OK 1405 100 
OK 1406 100 
OK 1407 100 
OK 1408 100 
OK 1409 100 
OK 1410 100 
OK 1411 100 
OK 1412 100 
OK 1413 100 
OK 1414 100 
OK 1415 100 
OK 1416 100 
OK 1417 100 
OK 1418 100 
OK 1419 100 
OK 1420 100 
OK 1421 100 
OK 1422 100 
OK 1423 100 
OK 1424 100 
OK 1425 100 
OK 1426 100 
OK 1427 100 
OK 1428 100 
OK 1429 100 
OK 1430 100 
OK 1431 100 
OK 1432 100 
OK 1433 100 
OK 1434 100 
OK 1435 100 
OK 1436 100 
OK 1437 100 
OK 1438 100 
OK 1439 100 
OK 1440 100 
OK 1441 100 
OK 1442 100 
OK 1443 100 
OK 1444 100 
OK 1445 100 
OK 1446 100 
OK 1447 100 
OK 1448 100 
OK 1449 100 
OK 1450 100 
OK 1451 100 
OK 1452 100 
OK 1453 100 
OK 1454 100 
OK 1455 100 
OK 1456 100 
OK 1457 100 
OK 1458 100 
OK 1459 100 
OK 1460 100 
OK 1461 100 
OK 1462 100 
OK 1463 100 
OK 1464 100 
OK 1465 100 
OK 1466 100 
OK 1467 100 
OK 1468 100 
OK 1469 100 
OK 1470 100 
OK 1471 100 
OK 1472 100 
OK 1473 100 
OK 1474 100 
OK 1475 100 
OK 1476 100 
OK 1477 100 
OK 1478 100 
OK 1479 100 
OK 1480 100 
OK 1481 100 
OK 1482 100 
OK 1483 100 
OK 1484 100 
OK 1485 100 
OK 1486 100 
OK 1487 100 
OK 1488 100 
OK 1489 100 
OK 1490 100 
OK 1491 100 
OK 1492 100 
OK 1493 100 
OK 1494 100 
OK 1495 100 
OK 1496 100 
OK 1497 100 
OK 1498 100 
OK 1499 100 
OK 1500 100 
OK 1501 100 
OK 1502 100 
OK 1503 100 
OK 1504 100 
OK 1505 100 
OK 1506 100 
OK 1507 100 
OK 1508 100 
OK 1509 100 
OK 1510 100 
OK 1511 100 
OK 1512 100 
OK 1513 100 
OK 1514 100 
OK 1515 100 
OK 1516 100 
OK 1517 100 
OK 1518 100 
OK 1519 100 
OK 1520 100 
OK 1521 100 
OK 1522 100 
OK 1523 100 
OK 1524 100 
OK 1525 100 
OK 1526 100 
OK 1527 100 
OK 1528 100 
OK 1529 100 
OK 1530 100 
OK 1531 100 
OK 1532 100 
OK 1533 100 
OK 1534 100 
OK 1535 100 
OK 1536 100 
OK 1537 100 
OK 1538 100 
OK 1539 100 
OK 1540 100 
OK 1541 100 
OK 1542 100 
OK 1543 100 
OK 1544 100 
OK 1545 100 
OK 1546 100 
OK 1547 100 
OK 1548 100 
OK 1549 100 
OK 1550 100 
OK 1551 100 
OK 1552 100 
OK 1553 100 
OK 1554 100 
OK 1555 100 
OK 1556 100 
OK 1557 100 
OK 1558 100 
OK 1559 100 
OK 1560 100 
OK 1561 100 
OK 1562 100 
OK 1563 100 
OK 1564 100 
OK 1565 100 
OK 1566 100 
OK 1567 100 
OK 1568 100 
OK 1569 100 
OK 1570 100 
OK 1571 100 
OK 1572 100 
OK 1573 100 
OK 1574 100 
OK 1575 100 
OK 1576 100 
OK 1577 100 
OK 1578 100 
OK 1579 100 
OK 1580 100 
OK 1581 100 
OK 1582 100 
OK 1583 100 
OK 1584 100 
OK 1585 100 
OK 1586 100 
OK 1587 100 
OK 1588 100 
OK 1589 100 
OK 1590 100 
OK 1591 100 
OK 1592 100 
OK 1593 100 
OK 1594 100 
OK 1595 100 
OK 1596 100 
OK 1597 100 
OK 1598 100 
OK 1599 100 
OK 1600 100 
OK 1601 100 
OK 1602 100 
OK 1603 100 
OK 1604 100 
OK 1605 100 
OK 1606 100 
OK 1607 100 
OK 1608 100 
OK 1609 100 
OK 1610 100 
OK 1611 100 
OK 1612 100 
OK 1613 100 
OK 1614 100 
OK 1615 100 
OK 1616 100 
OK 1617 100 
OK 1618 100 
OK 1619 100 
OK 1620 100 
OK 1621 100 
OK 1622 100 
OK 1623 100 
OK 1624 100 
OK 1625 100 
OK 1626 100 
OK 1627 100 
OK 1628 100 
OK 1629 100 
