# Name (bankID=2)
TAC_GAIN
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
Default values of TAC (nsec/TDC)
# calibration data. 5120 entries
# status PMT TAC_GAIN
OK 772 0.1 
OK 773 0.1 
OK 774 0.1 
OK 775 0.1 
OK 776 0.1 
OK 777 0.1 
OK 778 0.1 
OK 779 0.1 
OK 780 0.1 
OK 781 0.1 
OK 782 0.1 
OK 783 0.1 
OK 784 0.1 
OK 785 0.1 
OK 786 0.1 
OK 787 0.1 
OK 788 0.1 
OK 789 0.1 
OK 790 0.1 
OK 791 0.1 
OK 792 0.1 
OK 793 0.1 
OK 794 0.1 
OK 795 0.1 
OK 796 0.1 
OK 797 0.1 
OK 798 0.1 
OK 799 0.1 
OK 800 0.1 
OK 801 0.1 
OK 802 0.1 
OK 803 0.1 
OK 804 0.1 
OK 805 0.1 
OK 806 0.1 
OK 807 0.1 
OK 808 0.1 
OK 809 0.1 
OK 810 0.1 
OK 811 0.1 
OK 812 0.1 
OK 813 0.1 
OK 814 0.1 
OK 815 0.1 
OK 816 0.1 
OK 817 0.1 
OK 818 0.1 
OK 819 0.1 
OK 820 0.1 
OK 821 0.1 
OK 822 0.1 
OK 823 0.1 
OK 824 0.1 
OK 825 0.1 
OK 826 0.1 
OK 827 0.1 
OK 828 0.1 
OK 829 0.1 
OK 830 0.1 
OK 831 0.1 
OK 832 0.1 
OK 833 0.1 
OK 834 0.1 
OK 835 0.1 
OK 836 0.1 
OK 837 0.1 
OK 838 0.1 
OK 839 0.1 
OK 840 0.1 
OK 841 0.1 
OK 842 0.1 
OK 843 0.1 
OK 844 0.1 
OK 845 0.1 
OK 846 0.1 
OK 847 0.1 
OK 848 0.1 
OK 849 0.1 
OK 850 0.1 
OK 851 0.1 
OK 852 0.1 
OK 853 0.1 
OK 854 0.1 
OK 855 0.1 
OK 856 0.1 
OK 857 0.1 
OK 858 0.1 
OK 859 0.1 
OK 860 0.1 
OK 861 0.1 
OK 862 0.1 
OK 863 0.1 
OK 864 0.1 
OK 865 0.1 
OK 866 0.1 
OK 867 0.1 
OK 868 0.1 
OK 869 0.1 
OK 870 0.1 
OK 871 0.1 
OK 872 0.1 
OK 873 0.1 
OK 874 0.1 
OK 875 0.1 
OK 876 0.1 
OK 877 0.1 
OK 878 0.1 
OK 879 0.1 
OK 880 0.1 
OK 881 0.1 
OK 882 0.1 
OK 883 0.1 
OK 884 0.1 
OK 885 0.1 
OK 886 0.1 
OK 887 0.1 
OK 888 0.1 
OK 889 0.1 
OK 890 0.1 
OK 891 0.1 
OK 892 0.1 
OK 893 0.1 
OK 894 0.1 
OK 895 0.1 
OK 896 0.1 
OK 897 0.1 
OK 898 0.1 
OK 899 0.1 
OK 900 0.1 
OK 901 0.1 
OK 902 0.1 
OK 903 0.1 
OK 904 0.1 
OK 905 0.1 
OK 906 0.1 
OK 907 0.1 
OK 908 0.1 
OK 909 0.1 
OK 910 0.1 
OK 911 0.1 
OK 912 0.1 
OK 913 0.1 
OK 914 0.1 
OK 915 0.1 
OK 916 0.1 
OK 917 0.1 
OK 918 0.1 
OK 919 0.1 
OK 920 0.1 
OK 921 0.1 
OK 922 0.1 
OK 923 0.1 
OK 924 0.1 
OK 925 0.1 
OK 926 0.1 
OK 927 0.1 
OK 928 0.1 
OK 929 0.1 
OK 930 0.1 
OK 931 0.1 
OK 932 0.1 
OK 933 0.1 
OK 934 0.1 
OK 935 0.1 
OK 936 0.1 
OK 937 0.1 
OK 938 0.1 
OK 939 0.1 
OK 940 0.1 
OK 941 0.1 
OK 942 0.1 
OK 943 0.1 
OK 944 0.1 
OK 945 0.1 
OK 946 0.1 
OK 947 0.1 
OK 948 0.1 
OK 949 0.1 
OK 950 0.1 
OK 951 0.1 
OK 952 0.1 
OK 953 0.1 
OK 954 0.1 
OK 955 0.1 
OK 956 0.1 
OK 957 0.1 
OK 958 0.1 
OK 959 0.1 
OK 960 0.1 
OK 961 0.1 
OK 962 0.1 
OK 963 0.1 
OK 964 0.1 
OK 965 0.1 
OK 966 0.1 
OK 967 0.1 
OK 968 0.1 
OK 969 0.1 
OK 970 0.1 
OK 971 0.1 
OK 972 0.1 
OK 973 0.1 
OK 974 0.1 
OK 975 0.1 
OK 976 0.1 
OK 977 0.1 
OK 978 0.1 
OK 979 0.1 
OK 980 0.1 
OK 981 0.1 
OK 982 0.1 
OK 983 0.1 
OK 984 0.1 
OK 985 0.1 
OK 986 0.1 
OK 987 0.1 
OK 988 0.1 
OK 989 0.1 
OK 990 0.1 
OK 991 0.1 
OK 992 0.1 
OK 993 0.1 
OK 994 0.1 
OK 995 0.1 
OK 996 0.1 
OK 997 0.1 
OK 998 0.1 
OK 999 0.1 
OK 1000 0.1 
OK 1001 0.1 
OK 1002 0.1 
OK 1003 0.1 
OK 1004 0.1 
OK 1005 0.1 
OK 1006 0.1 
OK 1007 0.1 
OK 1008 0.1 
OK 1009 0.1 
OK 1010 0.1 
OK 1011 0.1 
OK 1012 0.1 
OK 1013 0.1 
OK 1014 0.1 
OK 1015 0.1 
OK 1016 0.1 
OK 1017 0.1 
OK 1018 0.1 
OK 1019 0.1 
OK 1020 0.1 
OK 1021 0.1 
OK 1022 0.1 
OK 1023 0.1 
OK 1024 0.1 
OK 1025 0.1 
OK 1026 0.1 
OK 1027 0.1 
OK 1028 0.1 
OK 1029 0.1 
OK 1030 0.1 
OK 1031 0.1 
OK 1032 0.1 
OK 1033 0.1 
OK 1034 0.1 
OK 1035 0.1 
OK 1036 0.1 
OK 1037 0.1 
OK 1038 0.1 
OK 1039 0.1 
OK 1040 0.1 
OK 1041 0.1 
OK 1042 0.1 
OK 1043 0.1 
OK 1044 0.1 
OK 1045 0.1 
OK 1046 0.1 
OK 1047 0.1 
OK 1048 0.1 
OK 1049 0.1 
OK 1050 0.1 
OK 1051 0.1 
OK 1052 0.1 
OK 1053 0.1 
OK 1054 0.1 
OK 1055 0.1 
OK 1056 0.1 
OK 1057 0.1 
OK 1058 0.1 
OK 1059 0.1 
OK 1060 0.1 
OK 1061 0.1 
OK 1062 0.1 
OK 1063 0.1 
OK 1064 0.1 
OK 1065 0.1 
OK 1066 0.1 
OK 1067 0.1 
OK 1068 0.1 
OK 1069 0.1 
OK 1070 0.1 
OK 1071 0.1 
OK 1072 0.1 
OK 1073 0.1 
OK 1074 0.1 
OK 1075 0.1 
OK 1076 0.1 
OK 1077 0.1 
OK 1078 0.1 
OK 1079 0.1 
OK 1080 0.1 
OK 1081 0.1 
OK 1082 0.1 
OK 1083 0.1 
OK 1084 0.1 
OK 1085 0.1 
OK 1086 0.1 
OK 1087 0.1 
OK 1088 0.1 
OK 1089 0.1 
OK 1090 0.1 
OK 1091 0.1 
OK 1092 0.1 
OK 1093 0.1 
OK 1094 0.1 
OK 1095 0.1 
OK 1096 0.1 
OK 1097 0.1 
OK 1098 0.1 
OK 1099 0.1 
OK 1100 0.1 
OK 1101 0.1 
OK 1102 0.1 
OK 1103 0.1 
OK 1104 0.1 
OK 1105 0.1 
OK 1106 0.1 
OK 1107 0.1 
OK 1108 0.1 
OK 1109 0.1 
OK 1110 0.1 
OK 1111 0.1 
OK 1112 0.1 
OK 1113 0.1 
OK 1114 0.1 
OK 1115 0.1 
OK 1116 0.1 
OK 1117 0.1 
OK 1118 0.1 
OK 1119 0.1 
OK 1120 0.1 
OK 1121 0.1 
OK 1122 0.1 
OK 1123 0.1 
OK 1124 0.1 
OK 1125 0.1 
OK 1126 0.1 
OK 1127 0.1 
OK 1128 0.1 
OK 1129 0.1 
OK 1130 0.1 
OK 1131 0.1 
OK 1132 0.1 
OK 1133 0.1 
OK 1134 0.1 
OK 1135 0.1 
OK 1136 0.1 
OK 1137 0.1 
OK 1138 0.1 
OK 1139 0.1 
OK 1140 0.1 
